group,sp,id,tran,dist,trt,side,loc,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
F,fre,2,T1,0.5,C,R,L3,05.05.2022,EHS,0,0,0,0,2.1 cm,0,2.090 mg,vw - used microscale
F,fre,3,T1,2,NR,L,L4,06.01.2022,EGN,0,0,0,0,3.3 cm,0,1.473 mg,vw - used microscale
F,fre,3,T2,2,NR,R,L3,06.01.2022,EGN,0,0,0,0,1.9 cm,0,0.482 mg,vw - used microscale
F,fre,6,T1,2,NR,R,L3,05.05.2022,EHS,0,0,0,0,0.9 cm,0,0.382 mg,vw - used microscale
G,cal,1,home,0,NR,R,L3,06.01.2022,EGN,1,1.420 mg,0,15,6.7 cm,0,1.906 mg,vw - used microscale
G,fre,2,T1,2,C,R,L1,06.01.2022,EGN,1,11.217 mg,9,60,7.5 cm,0,0.013 g,
G,fre,2,T1,2,NR,L,L3,05.05.2022,EHS,1,8.165 mg,35,72,6.1 cm,0,0.013 g,
G,fre,3,home,0,C,L,L4,06.02.2022,EGN,1,8.314 mg,79,46,9.3 cm,0,0.005 g,
G,fre,3,T1,0.5,NR,R,L2,06.02.2022,EGN,2,36.862 mg,280,35,10.6 cm,8.7 cm,0.046 g,
G,fre,3,T2,0.5,NR,L,L2,06.01.2022,EGN,1,1.978 mg,9,15,5.6 cm,0,2.249 mg,vw - used microscale
H,cal,2,T2,2,NR,L,L4,06.02.2022,EGN,1,1.490 mg,10,3,7.3 cm,0,2.262 mg,vw - used microscale
H,cal,3,T1,2,NR,L,L1,06.02.2022,EGN,1,0.605 mg,0,6,1.4 cm,0,0.699 mg,vw - used microscale
H,fre,2,T2,1,NR,L,L2,06.01.2022,EGN,0,0,0,0,6.5 cm,0,4.416 mg,vw - used microscale
H,fre,3,T1,0.5,C,L,L4,06.02.2022,EGN,1,9.816 mg,65,35,9.5 cm,0,0.012 g,
H,fre,3,T1,2,NR,R,L1,06.02.2022,EGN,1,12.562 mg,55,44,7.1 cm,0,0.012 g,
H,fre,3,T2,2,NR,R,L1,06.01.2022,EGN,1,2.263 mg,3,20,5.2 cm,0,3.312 mg,vw - used microscale
H,fre,4,T2,1,NR,L,L2,06.01.2022,EGN,0,0,0,0,0,0,0,
