group,sp,year,mom,ic,iw,vs,is,ih,num.bh,bh1,bh2,bh3,bh4,bh5,bh6,vw,notes
A,CAL,2018,1,5,42.581,198,53,14.1,4,6.8,8.7,5.8,8,NA,NA,0.046,
A,CAL,2018,2,3,30.156,112,31,14.4,1,9.5,NA,NA,NA,NA,NA,0.035,
A,CAL,2018,3,2,19.406,84,114,17.1,1,7.9,NA,NA,NA,NA,NA,0.026,
A,CAL,2018,4,2,19.662,89,105,14.2,2,10.8,4.8,NA,NA,NA,NA,0.034,
A,CAL,2018,5,3,24.327,134,50,14.4,2,5.8,7.3,NA,NA,NA,NA,0.023,
A,CAL,2018,6,6,63.589,322,111,19.5,5,10.7,8.3,11.1,13.1,8.3,NA,0.065,
A,FRE,2018,1,4,63.322,521,53,17.2,3,10.1,11.4,15.8,NA,NA,NA,0.072,
A,FRE,2018,2,1,10.702,124,2,13.6,0,NA,NA,NA,NA,NA,NA,0.013,
A,FRE,2018,3,2,14.304,95,23,8,1,6.2,NA,NA,NA,NA,NA,0.011,
A,FRE,2018,4,3,51.214,350,30,13.9,2,12.1,9.1,NA,NA,NA,NA,0.057,
A,FRE,2018,5,2,26.153,221,16,14,1,8.3,NA,NA,NA,NA,NA,0.031,
A,FRE,2018,6,3,72.774,614,11,17.2,3,16.4,12.4,1.9,NA,NA,NA,0.112,Some seeds removed to test gluing procedure
A,GLA,2018,1,1,3.347,14,0,11.2,0,NA,NA,NA,NA,NA,NA,0.006,
A,GLA,2018,2,2,2.199,6,1,8.1,0,NA,NA,NA,NA,NA,NA,0.001,
A,GLA,2018,3,3,8.711,26,0,14.6,1,7.9,NA,NA,NA,NA,NA,0.013,
A,GLA,2018,4,2,4.904,15,7,11.3,1,2.7,NA,NA,NA,NA,NA,0.004,
A,GLA,2018,5,2,4.89,21,2,15.9,1,3,NA,NA,NA,NA,NA,0.006,
A,GLA,2018,6,2,4.307,21,1,11.3,1,2.1,NA,NA,NA,NA,NA,0.004,
B,CAL,2018,1,1,5.503,46,8,12.9,0,NA,NA,NA,NA,NA,NA,0.006,
B,CAL,2018,2,1,13.033,56,31,13.6,0,NA,NA,NA,NA,NA,NA,0.018,
B,CAL,2018,3,2,12.145,71,61,13.8,1,7.4,NA,NA,NA,NA,NA,0.016,
B,CAL,2018,4,2,16.013,92,50,14.6,1,6.7,NA,NA,NA,NA,NA,0.016,
B,CAL,2018,5,1,8.553,58,25,12.4,0,NA,NA,NA,NA,NA,NA,0.009,
B,CAL,2018,6,1,1.694,8,19,11.2,0,NA,NA,NA,NA,NA,NA,0.001,
B,FRE,2018,1,1,13.272,140,3,16,0,NA,NA,NA,NA,NA,NA,0.015,
B,FRE,2018,2,5,7.756,6,82,13.5,2,5.3,3.3,NA,NA,NA,NA,0.017,
B,FRE,2018,3,2,22.28,150,0,14.2,1,11,NA,NA,NA,NA,NA,0.036,
B,FRE,2018,4,2,10.901,116,3,16.1,0,NA,NA,NA,NA,NA,NA,0.016,
B,FRE,2018,5,2,14.899,132,4,15.7,1,3.4,NA,NA,NA,NA,NA,0.019,
B,FRE,2018,6,2,14.734,170,14,13,1,8,NA,NA,NA,NA,NA,0.012,
B,GLA,2018,1,2,17.107,85,0,14.2,1,6.9,NA,NA,NA,NA,NA,0.029,
B,GLA,2018,2,2,12.739,32,0,16.8,1,5.6,NA,NA,NA,NA,NA,0.035,
B,GLA,2018,3,5,18.862,64,2,15.7,2,4.5,3.5,NA,NA,NA,NA,0.036,
B,GLA,2018,4,4,24.293,103,4,22.5,3,6.4,2.5,11.3,NA,NA,NA,0.033,
B,GLA,2018,5,4,7.384,26,0,10.3,3,4.8,3.5,1.8,NA,NA,NA,0.022,
B,GLA,2018,6,4,13.644,68,1,18.5,2,6.8,4.3,NA,NA,NA,NA,0.026,
C,CAL,2018,1,7,81.516,241,79,15.8,6,6.3,13.6,3.7,14.4,9.3,6.6,0.09,
C,CAL,2018,2,1,8.228,57,3,14.2,0,NA,NA,NA,NA,NA,NA,0.012,
C,CAL,2018,3,2,10.516,54,38,13.2,2,1.1,6.3,NA,NA,NA,NA,0.014,
C,CAL,2018,4,4,43.918,229,10,18.1,3,16.6,12.2,9.3,NA,NA,NA,0.058,
C,CAL,2018,5,2,12.232,46,5,13.6,1,2.5,NA,NA,NA,NA,NA,0.016,
C,CAL,2018,6,2,13.985,69,28,18.6,1,6.4,NA,NA,NA,NA,NA,0.023,
C,FRE,2018,1,2,3.819,18,3,15.9,1,4.2,NA,NA,NA,NA,NA,0.009,
C,FRE,2018,2,2,10.081,109,7,14.2,1,8,NA,NA,NA,NA,NA,0.014,
C,FRE,2018,3,3,29.213,277,2,19.6,2,13.9,6,NA,NA,NA,NA,0.055,
C,FRE,2018,4,1,7.109,36,26,22.1,0,NA,NA,NA,NA,NA,NA,0.021,
C,FRE,2018,5,1,9.134,90,23,17.5,0,NA,NA,NA,NA,NA,NA,0.024,
C,FRE,2018,6,2,23.685,207,13,19.9,2,9.5,4.3,NA,NA,NA,NA,0.042,
C,GLA,2018,1,2,6.567,22,1,18.1,1,6.3,NA,NA,NA,NA,NA,0.014,
C,GLA,2018,2,2,3.679,19,0,10.2,1,2.9,NA,NA,NA,NA,NA,0.003,
C,GLA,2018,3,2,6.358,32,0,12.6,1,1.5,NA,NA,NA,NA,NA,0.007,
C,GLA,2018,4,6,19.394,42,16,18.9,2,6.9,3.4,NA,NA,NA,NA,0.04,
C,GLA,2018,5,2,4.497,28,0,11.9,1,2.2,NA,NA,NA,NA,NA,0.007,
C,GLA,2018,6,2,9.913,50,0,15.9,2,5.6,3.1,NA,NA,NA,NA,0.016,
D,CAL,2018,1,2,13.064,122,0,10.9,1,6,NA,NA,NA,NA,NA,0.013,
D,CAL,2018,2,3,21.632,113,52,13.3,2,9.5,5.7,NA,NA,NA,NA,0.019,Has Alternative
D,CAL,2018,3,2,26.16,151,9,13.5,2,8.5,2.5,NA,NA,NA,NA,0.024,
D,CAL,2018,4,2,16.316,143,22,13.2,1,6.1,NA,NA,NA,NA,NA,0.015,
D,CAL,2018,5,1,5.913,47,4,9.6,0,NA,NA,NA,NA,NA,NA,0.002,
D,CAL,2018,6,2,12.009,10,71,12.1,1,7.1,NA,NA,NA,NA,NA,0.014,
D,FRE,2018,1,3,32.887,476,2,16.7,2,13.9,15.5,NA,NA,NA,NA,0.052,
D,FRE,2018,2,1,21.777,187,8,17.8,1,3.1,NA,NA,NA,NA,NA,0.035,
D,FRE,2018,3,3,52.704,464,10,16.9,2,11.3,15,NA,NA,NA,NA,0.064,
D,FRE,2018,4,3,46.779,332,0,19.4,1,12.8,NA,NA,NA,NA,NA,0.075,
D,FRE,2018,5,1,11.423,133,5,13.5,1,1.4,NA,NA,NA,NA,NA,0.018,
D,FRE,2018,6,2,37.212,396,0,14.3,1,13,NA,NA,NA,NA,NA,0.038,
D,GLA,2018,1,7,34.551,171,1,11.6,4,4.3,1.1,2.3,4.6,NA,NA,0.036,
D,GLA,2018,2,4,22.866,102,5,16.2,4,7.5,3.7,5.8,1.5,NA,NA,0.032,
D,GLA,2018,3,4,8.318,33,2,17.2,2,7.1,5.1,NA,NA,NA,NA,0.023,
D,GLA,2018,4,5,13.504,64,3,20.9,4,10.4,6.3,4,6.7,NA,NA,0.03,
D,GLA,2018,5,6,18.925,89,2,17.3,4,10.9,1.7,1.5,6.5,NA,NA,0.03,
D,GLA,2018,6,4,19.267,137,1,16.9,1,1.5,NA,NA,NA,NA,NA,0.027,
E,CAL,2018,1,1,13.597,42,50,10.1,0,NA,NA,NA,NA,NA,NA,0.013,
E,CAL,2018,2,1,12.729,61,14,9.8,0,NA,NA,NA,NA,NA,NA,0.011,
E,CAL,2018,3,1,14.666,68,13,10.2,0,NA,NA,NA,NA,NA,NA,0.012,
E,CAL,2018,4,2,15.548,86,4,12.9,1,5.3,NA,NA,NA,NA,NA,0.014,
E,CAL,2018,5,2,24.645,122,11,13.1,1,6.3,NA,NA,NA,NA,NA,0.019,
E,CAL,2018,6,4,24.604,88,19,10.3,3,6.9,7.3,4.9,NA,NA,NA,0.025,
E,FRE,2018,1,2,18.417,123,7,11,0,NA,NA,NA,NA,NA,NA,0.014,
E,FRE,2018,2,1,12.344,128,3,10.6,0,NA,NA,NA,NA,NA,NA,0.013,
E,FRE,2018,3,1,14.313,122,7,12.9,0,NA,NA,NA,NA,NA,NA,0.017,
E,FRE,2018,4,2,18.497,171,4,15.4,1,8.5,NA,NA,NA,NA,NA,0.022,
E,FRE,2018,5,4,33.628,283,8,14,3,7,7.1,6.7,NA,NA,NA,0.038,
E,FRE,2018,6,3,58.632,465,55,16.4,2,8.8,13.5,NA,NA,NA,NA,0.056,
E,GLA,2018,1,4,19.507,53,2,16,2,9.4,4.7,NA,NA,NA,NA,0.032,
E,GLA,2018,2,3,15.81,61,3,10.2,2,6.3,3.1,NA,NA,NA,NA,0.026,
E,GLA,2018,3,1,6.92,28,1,10.3,0,NA,NA,NA,NA,NA,NA,0.008,
E,GLA,2018,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Collection
E,GLA,2018,5,3,11.166,34,5,12.7,2,5.4,1.8,NA,NA,NA,NA,0.021,
E,GLA,2018,6,2,8.209,31,0,13.9,1,2,NA,NA,NA,NA,NA,0.011,
F,CAL,2018,1,1,8.61,47,0,11.1,0,NA,NA,NA,NA,NA,NA,0.005,
F,CAL,2018,2,2,30.632,180,3,14.6,1,9.1,NA,NA,NA,NA,NA,0.034,
F,CAL,2018,3,3,34.781,144,31,13.9,2,13.3,11.4,NA,NA,NA,NA,0.042,
F,CAL,2018,4,1,11.727,74,3,14,0,NA,NA,NA,NA,NA,NA,0.011,
F,CAL,2018,5,4,41.157,171,7,10.4,4,8.5,5.5,1.4,9,NA,NA,0.041,
F,CAL,2018,6,2,11.177,54,16,11.4,1,3.7,NA,NA,NA,NA,NA,0.007,
F,FRE,2018,1,2,23.241,246,5,12.1,1,6.9,NA,NA,NA,NA,NA,0.017,
F,FRE,2018,2,2,19.423,148,19,13.3,1,7.4,NA,NA,NA,NA,NA,0.027,
F,FRE,2018,3,2,24.821,256,7,13.3,1,12,NA,NA,NA,NA,NA,0.031,
F,FRE,2018,4,3,36.312,438,5,18.7,2,11.4,12.3,NA,NA,NA,NA,0.063,
F,FRE,2018,5,2,15.376,108,0,12.7,1,5.8,NA,NA,NA,NA,NA,0.018,
F,FRE,2018,6,2,16.699,150,10,10.3,1,4.9,NA,NA,NA,NA,NA,0.017,
F,GLA,2018,1,2,5.86,20,2,17.9,1,4.5,NA,NA,NA,NA,NA,0.012,
F,GLA,2018,2,1,1.765,7,1,15.2,0,NA,NA,NA,NA,NA,NA,0.003,
F,GLA,2018,3,4,6.9,18,0,16.4,2,3.3,7.4,NA,NA,NA,NA,0.012,
F,GLA,2018,4,3,4.571,14,6,13.1,1,2,NA,NA,NA,NA,NA,0.002,
F,GLA,2018,5,2,4.751,13,3,17.6,1,5.7,NA,NA,NA,NA,NA,0.014,
F,GLA,2018,6,2,5.8,16,0,17.6,1,3.8,NA,NA,NA,NA,NA,0.007,
G,CAL,2018,1,2,17.885,126,8,17.3,1,11.4,NA,NA,NA,NA,NA,0.027,
G,CAL,2018,2,1,14.284,102,10,12.3,0,NA,NA,NA,NA,NA,NA,0.012,
G,CAL,2018,3,2,13.851,55,33,10.9,1,5.6,NA,NA,NA,NA,NA,0.01,
G,FRE,2018,1,2,30.05,163,17,16.6,1,10.3,NA,NA,NA,NA,NA,0.044,
G,FRE,2018,2,2,11.098,104,8,11,1,5.9,NA,NA,NA,NA,NA,0.012,
G,FRE,2018,3,1,11.588,122,2,17,0,NA,NA,NA,NA,NA,NA,0.018,
G,GLA,2018,1,2,6.664,30,1,11.1,0,NA,NA,NA,NA,NA,NA,0.009,
G,GLA,2018,2,3,4.58,20,1,12.2,0,NA,NA,NA,NA,NA,NA,0.002,
G,GLA,2018,3,2,5.555,23,2,8.4,0,NA,NA,NA,NA,NA,NA,0.005,
H,CAL,2018,1,2,15.042,80,13,14.6,1,6.2,NA,NA,NA,NA,NA,0.017,
H,CAL,2018,2,3,26.602,156,43,15,1,8.9,NA,NA,NA,NA,NA,0.025,
H,CAL,2018,3,3,20.511,149,13,15.6,2,10.8,8.8,NA,NA,NA,NA,0.021,
H,FRE,2018,2,2,9.287,59,6,10.8,1,4.6,NA,NA,NA,NA,NA,0.01,
H,FRE,2018,3,1,16.651,128,3,20,0,NA,NA,NA,NA,NA,NA,0.031,
H,FRE,2018,4,2,21.115,104,11,15.2,1,8.5,NA,NA,NA,NA,NA,0.03,
H,GLA,2018,1,3,5.944,34,1,9.7,3,4,2.3,1.9,NA,NA,NA,0.009,
H,GLA,2018,2,3,11.696,53,0,16.3,1,2.7,NA,NA,NA,NA,NA,0.033,
H,GLA,2018,3,5,24.831,99,1,18.7,3,9.6,1.9,2.6,NA,NA,NA,0.033,
