group,sp,id,Mtag,tran,dist,trt,side,tag,loc,status,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,cal,2,138,home,0,C,L,1492,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,home,0,C,L,1492,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,home,0,C,L,1492,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,home,0,C,L,1492,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,home,0,NR,R,1491,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,home,0,NR,R,1491,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,home,0,NR,R,1491,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,home,0,NR,R,1491,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,0.5,C,L,1494,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,0.5,C,L,1494,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,0.5,C,L,1494,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,0.5,C,L,1494,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,0.5,NR,R,1493,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,0.5,NR,R,1493,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,0.5,NR,R,1493,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,0.5,NR,R,1493,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,1,NR,L,1495,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,1,NR,L,1495,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,1,NR,L,1495,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,1,NR,L,1495,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,1,C,R,1496,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,1,C,R,1496,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,1,C,R,1496,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,1,C,R,1496,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,2,NR,L,1498,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,2,NR,L,1498,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,2,NR,L,1498,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,2,NR,L,1498,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,2,C,R,1497,loc1,1,20190611,MFO,1,0.71,6,2,9.7,NA,1.3,
A,cal,2,138,T1,2,C,R,1497,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,2,C,R,1497,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T1,2,C,R,1497,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,0.5,C,L,1499,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,0.5,C,L,1499,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,0.5,C,L,1499,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,0.5,C,L,1499,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,0.5,NR,R,1500,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,0.5,NR,R,1500,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,0.5,NR,R,1500,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,0.5,NR,R,1500,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,1,NR,L,1501,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,1,NR,L,1501,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,1,NR,L,1501,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,1,NR,L,1501,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,1,C,R,1502,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,1,C,R,1502,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,1,C,R,1502,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,1,C,R,1502,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,2,NR,L,1504,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,2,NR,L,1504,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,2,NR,L,1504,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,2,NR,L,1504,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,2,C,R,1503,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,2,C,R,1503,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,2,C,R,1503,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,2,138,T2,2,C,R,1503,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,home,0,C,L,1427,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,home,0,C,L,1427,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,home,0,C,L,1427,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,home,0,C,L,1427,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,home,0,NR,R,1428,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,home,0,NR,R,1428,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,home,0,NR,R,1428,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,home,0,NR,R,1428,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,0.5,C,L,1456,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,0.5,C,L,1456,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,0.5,C,L,1456,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,0.5,C,L,1456,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,0.5,NR,R,1455,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,0.5,NR,R,1455,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,0.5,NR,R,1455,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,0.5,NR,R,1455,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,1,C,L,1457,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
A,cal,3,139,T1,1,C,L,1457,loc2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,1,C,L,1457,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,1,C,L,1457,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,1,NR,R,1458,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,1,NR,R,1458,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,1,NR,R,1458,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,1,NR,R,1458,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,2,NR,L,1460,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,2,NR,L,1460,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,2,NR,L,1460,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,2,NR,L,1460,loc4,1,20190510,MFO,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,2,C,R,1459,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,2,C,R,1459,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,2,C,R,1459,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T1,2,C,R,1459,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,0.5,C,L,1461,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,0.5,C,L,1461,loc2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,cal,3,139,T2,0.5,C,L,1461,loc3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
