group,sp,hub,mayID,matTag,trans,dist,trt,tag,side,loc,status,date_processed,initials,ic,iw,vs,is,ih,bh,vw,notes_trait
A,glab,10,2,289,T1,0.5,NR,1014,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,0.5,NR,1014,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,0.5,NR,1014,R,loc4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,0.5,C,1015,L,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,0.5,C,1015,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,0.5,C,1015,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,0.5,C,1015,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,1,C,1016,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,1,C,1016,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,1,C,1016,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,1,C,1016,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,1,NR,1017,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,1,NR,1017,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,1,NR,1017,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,1,NR,1017,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,2,NR,1018,R,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,2,NR,1018,R,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,2,NR,1018,R,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,2,NR,1018,R,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,2,C,1019,L,loc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,2,C,1019,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,2,C,1019,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T1,2,C,1019,L,loc4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,0.5,C,1020,L,loc1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,0.5,C,1020,L,loc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A,glab,10,2,289,T2,0.5,C,1020,L,loc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
