group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
A,fre,1,199,T2,1,C,1093,R,0,M,0,0,,
A,fre,1,199,T2,2,C,1094,L,0,0,0,0,,
A,fre,1,199,T2,2,NR,1095,R,0,0,0,0,,
A,fre,2,198,home,0,NR,1096,R,0,0,0,0,,
A,fre,2,198,home,0,C,1097,L,0,0,0,0,,
A,fre,2,198,T1,0.5,NR,1101,R,0,0,0,0,,
A,fre,2,198,T1,0.5,C,1102,L,M,0,M,M,,
A,fre,2,198,T1,1,NR,1103,R,0,0,0,0,,
A,fre,2,198,T1,1,C,1104,L,0,0,M,M,,
A,fre,2,198,T1,2,NR,1105,R,0,0,0,0,,
A,fre,2,198,T1,2,C,1106,L,0,M,0,0,,
A,fre,2,198,T2,0.5,C,1107,R,0,0,0,0,,
A,fre,2,198,T2,0.5,NR,1108,L,0,0,0,0,,
A,fre,2,198,T2,1,C,1109,R,0,0,0,M,,
A,fre,2,198,T2,1,NR,1110,L,0,0,0,0,,
A,fre,2,198,T2,2,C,1111,L,0,0,0,0,,
A,fre,2,198,T2,2,NR,1112,R,0,M,0,0,,
A,fre,3,197,home,0,C,1113,L,M,0,M,M,,
A,fre,3,197,home,0,NR,1114,R,M,0,0,0,,
A,fre,3,197,T2,0.5,C,1115,L,0,0,0,0,,
A,fre,3,197,T2,0.5,NR,1116,R,G,0,G,G,,
A,fre,3,197,T2,1,NR,1117,R,0,0,0,0,,
A,fre,3,197,T2,1,C,1118,L,M,0,M,M,,
A,fre,3,197,T2,2,NR,1119,L,0,0,V,0,,
A,fre,3,197,T2,2,C,1120,R,M,M,0,0,,
A,fre,3,197,T1,0.5,NR,1121,R,0,0,0,0,,
A,fre,3,197,T1,0.5,C,1122,L,0,0,0,0,,
A,fre,3,197,T1,1,C,1123,L,0,0,0,0,,
A,fre,3,197,T1,1,NR,1124,R,0,0,0,V,,
A,fre,3,197,T1,2,C,1125,R,M,M,M,0,,
A,fre,3,197,T1,2,NR,1126,L,0,0,0,0,,
A,fre,4,287,home,0,NR,1127,L,0,0,0,0,,
A,fre,4,287,home,0,C,1128,R,0,0,0,0,,
A,fre,4,287,T2,0.5,C,1129,R,0,0,0,0,,
A,fre,4,287,T2,0.5,NR,1130,L,0,0,0,0,,
A,fre,4,287,T2,1,NR,1131,R,0,0,0,0,,
A,fre,4,287,T2,1,C,1132,L,0,0,0,0,,
group,sp,mID,mTag,trans,dist,trt,tag,side,L1,L2,L3,L4,Notes,
A,fre,4,287,T2,2,C,1133,L,0,0,0,0,,
A,fre,4,287,T2,2,NR,1134,R,0,0,0,0,,
A,fre,4,287,T1,0.5,NR,1135,R,0,0,0,0,,
A,fre,4,287,T1,0.5,C,1136,L,0,0,0,0,,
A,fre,4,287,T1,1,C,1137,L,F,0,0,0,,
A,fre,4,287,T1,1,NR,1138,R,0,0,F,0,,
A,fre,4,287,T1,2,NR,1139,L,0,0,0,0,,
A,fre,4,287,T1,2,C,1140,R,F,M,M,M,,
A,fre,5,286,home,0,NR,1141,R,0,0,M,M,,
A,fre,5,286,home,0,C,1142,L,0,0,0,0,,
A,fre,5,286,T2,0.5,C,1149,R,M,0,0,0,,
A,fre,5,286,T2,0.5,NR,1150,L,B,0,0,0,,
A,fre,5,286,T2,1,NR,1151,R,0,0,M,0,,
A,fre,5,286,T2,1,C,1152,L,0,0,M,0,,
A,fre,5,286,T2,2,C,1153,L,0,0,0,0,,
A,fre,5,286,T2,2,NR,1154,R,0,0,0,0,,
